date,country,channel,segment,campaign,marketing_spend,impressions,clicks,leads,sales_calls,discount_rate,conversions,revenue,gross_margin
2025-01-01,SG,Ecommerce,Mid,A,157.59,14352,361,27,1,0.0257,0,0.0,0.0
2025-01-01,KR,Direct,Mid,A,216.07,16197,224,18,3,0.0852,0,0.0,0.0
2025-01-01,KR,Ecommerce,SMB,A,105.45,7543,119,14,0,0.0433,0,0.0,0.0
2025-01-01,SG,Ecommerce,SMB,C,106.82,9003,187,18,1,0.0489,1,1084.93,601.91
2025-01-01,JP,Ecommerce,Mid,None,69.22,5515,107,5,0,0.0455,0,0.0,0.0
2025-01-01,JP,SupplyHouse,SMB,None,,1517,25,1,0,0.0505,0,0.0,0.0
2025-01-01,TW,Distributor,Enterprise,None,42.72,3722,56,3,1,0.0309,0,0.0,0.0
2025-01-01,ANZ,SupplyHouse,SMB,A,152.9,13103,223,26,1,0.0857,0,0.0,0.0
2025-01-01,SG,Direct,SMB,None,47.41,3768,62,7,6,0.0152,0,0.0,0.0
2025-01-01,SG,Distributor,Mid,None,32.18,2786,41,2,1,0.0047,1,4486.87,2272.61
2025-01-01,KR,Ecommerce,Mid,B,85.92,6820,153,16,2,0.0791,0,0.0,0.0
2025-01-01,KR,Distributor,Enterprise,None,49.41,3873,60,2,0,0.0474,0,0.0,0.0
2025-01-01,HK,Ecommerce,Mid,None,142.52,11312,322,33,2,0.0055,0,0.0,0.0
2025-01-01,JP,Ecommerce,Mid,None,12.92,1018,23,1,2,0.0341,0,0.0,0.0
2025-01-01,ANZ,Distributor,Mid,None,37.45,3095,56,3,0,0.0124,0,0.0,0.0
2025-01-01,ANZ,Direct,Mid,None,25.63,2287,32,1,4,0.0462,0,0.0,0.0
2025-01-01,HK,Direct,Mid,None,22.78,1795,28,1,2,0.0326,0,0.0,0.0
2025-01-01,ANZ,Ecommerce,Mid,None,74.24,6254,172,6,1,0.0748,0,0.0,0.0
2025-01-01,TW,Distributor,SMB,C,129.74,10249,131,11,1,0.042,0,0.0,0.0
2025-01-01,JP,Direct,Mid,None,61.71,4334,90,7,2,0.0362,0,0.0,0.0
2025-01-01,HK,Direct,Mid,A,129.2,10563,292,30,2,0.0431,0,0.0,0.0
2025-01-01,TW,Distributor,SMB,None,49.74,4246,64,4,1,0.0104,0,0.0,0.0
2025-01-01,ANZ,Distributor,SMB,C,152.87,12490,210,30,0,0.0371,0,0.0,0.0
2025-01-01,SG,Ecommerce,Mid,C,331.47,23836,512,59,0,0.0396,0,0.0,0.0
2025-01-01,ANZ,Ecommerce,Mid,None,43.31,3190,81,6,1,0.0289,0,0.0,0.0
2025-01-01,JP,Direct,Mid,None,37.91,3355,36,1,5,0.0377,0,0.0,0.0
2025-01-01,ANZ,Direct,Enterprise,None,70.58,6064,93,3,5,0.0412,0,0.0,0.0
2025-01-02,SG,Ecommerce,Mid,A,95.15,8580,188,26,1,0.0288,0,0.0,0.0
2025-01-02,KR,SupplyHouse,SMB,B,64.36,5687,106,13,1,0.0718,0,0.0,0.0
